"Can anybody recommend camping sites (where you can bring your own tent) in Madagascar, on the beaches and in forests/parks?",ACM,ACMBUN
Do I need to book in advance or can I just show up in the morning and there will be enough guides for everyone to visit National parks?,TGU,TGUTOP
What are the things we can do for our short holiday stay in Mauritius island?,TTD,TTDOTH
From where can I rent a car in Mauritius?,TRS,TRSRNT
"What is the best hotel for honeymoon from St Regis, Lux Belle Mare, Lux Grand Gaube, Sofitel and Westin hotels?",ACM,ACMHOT
What are the best places for kitesurfing during December January season?,TTD,TTDSPO
Can anyone suggest adults only resort which has lovely beaches in Mauritius?,ACM,ACMRES
What are the must do activities in Mauritius as a traveller?,TTD,TTDSIG
Can you suggest a place to have eating out at the evening in Flic-en-Flac area?,FOD,FODBAK
From where can I buy tobacco and rolling papers in Mauritius?,TGU,TGUCIG
Is it good to use Rupees over GBP in Mauritius?,TGU,TGUBAN
Is it possible to visit rum distillery company during our stay at Mauritius?,FOD,FODBRE
How much money I should bring for a 10 days stay at Mauritius for 2 people?,TGU,TGUAVE
From where can I buy native gifts from Flic-en-Flac area?,TTD,TTDSHP
Can I find a place to rent GoPro cameras of the east side of the Mauritius island?,TGU,TGUOTH
What are the best hotels around snorkeling and surfing areas in Mauritius?,ACM,ACMHOT
How should i carry money to Mauritius so that i could save more on exchange rate?,TGU,TGUBAN
Is Credit/Debit cards accepted without any extra charges or minimum charges?,TGU,TGUBAN
Should i take Travel card or Multi currency card?,TRS,TRSTCD
How much it will cost for helicopter trip around Mauritius?,TTD,TTDTRI
Which is the Best island or beach in Mauritius for parasailing?,TTD,TTDSPO
What is the cleanest white sand beach with awesome aerial view in Mauritius?,TTD,TTDSIG
Which is the Best island or beach in Mauritius for underwater sea walk?,TTD,TTDSIG
How much does a taxi cost from the airport to Lux Le Morne?,TRS,TRSOTH
How can I find none overpriced family rooms in Mauritius?,ACM,ACMOTH
What is meant by Shared bathroom in Guest house in Mauritius?,ACM,ACMBEA
Does anyone have the e-mail address for the Ambre resort & spa Mauritius?,ACM,ACMRES
"What are the budget resorts with friendly/helping staff, good food, and a peaceful private beach which are suitable for Honeymoon?",ACM,ACMRES
I would like to know the approximate price of a beer or gin and tonic in and outside the hotels in Mauritius.,FOD,FODCOT
What do the authorities accept as proof of funds for on arrival visa?,TGU,TGUVIS
What are the best tourist excursions when it's raining?,TTD,TTDSIG
What is the ideal time to visit Mauritius in the year as we are planning to get married in there and spend our honeymoon?,TGU,TGUOTH
Can anyone let me know how much per person it is to go on the speed boat trip with McCloud?,TTD,TTDSPO
Can anyone let me know how much it is to hire a Taxi for 4 people in Mauritius ?,TRS,TRSTAX
Can I use debit card at the airport to buy currency as I don't fancy hauling lots of cash about on our travels?,TGU,TGUBAN
What are the best places with reasonable prices for sky diving?,TTD,TTDSPO
Can anyone tell me the nearest medical facilities near Sugar beach?,TGU,TGUHEA
Are the Mauritius beaches safe from sea snakes?,TGU,TGUHEA
Is it possible to buy wedding rings around Port Louis area?,TGU,TGUPLN
Are mosquitos an issue in Mauritius?,TGU,TGUHEA
Is month of April a good time for whale watching around Mauritius?,TTD,TTDSIG
Which hotels allow men to wear shorts at dinner time in Mauritius?,ACM,ACMHOT
Is it worth taking my own mask and snorkel or are they freely available to hire?,TTD,TTDSPO
What is the waiting time at Victoria Falls airport for a visa?,TGU,TGUVIS
From where can I buy local phone SIM card in Harare and what documents we need for that?,TGU,TGUTEL
How much taxi fee will it cost to go from Botswanian border to Victoria falls?,TRS,TRSOTH
Does UK citizens need any special documents when getting visa from borders of Zimbabwe?,TGU,TGUVIS
What are the important places I can visit in Harare city area?,TTD,TTDSIG
Can somebody please tell me the best bus service to get from Harare to Mutare ?,TRS,TRSBUS
Camp Hwange or Little Makalolo for best walking safari experience in late May early June?,TTD,TTDSIG
Which company do you recommend for short helicopter trip around Victoria Falls?,TTD,TTDTRI
Any recommendation for the tour operator for a full day canoe trail/safari in Victoria Falls?,TGU,TGUTOP
Can anyone tell me the amount of rand I should take if I'm staying at the lion sands lodge for 4 nights?,TGU,TGUAVE
"Are there many places like Cango Wildlife Ranch where you can stroke the Cheetah or get close to other animals like baby hippo, elephant?",TTD,TTDSIG
Which is the best safari park nearer to Johannesburg and can be seen as a day trip or max one night halt?,TTD,TTDSIG
Does anyone know of places that sell GoPros in Johannesburg?,TGU,TGUOTH
What places can I visit to play a golf round in Cape Town?,TTD,TTDSPO
Where can we get prepaid SIM cards with affordable rates in Johannesburg?,TGU,TGUTEL
Is it normal to see animals jumping on cars or lions trying to bite a bumper/fender off a car in Kruger National Park?,TTD,TTDSIG
Is it possible to do camping near Drakensberg mountain range?,TTD,TTDSPO
Can anyone suggest me how many min days are sufficient to visit Kruger national park along with safari from Durban?,TTD,TTDOTH
Is it possible to use child car seats in rent a car services in South Africa?,TRS,TRSRNT
"Has anyone done the 3200 mile tour with SAGA from Capetown to Victoria Falls via S Africa, Namibia and Botswana?",TGU,TGUTOP
Does any know of any good cheap hotels in Johannesburg?,ACM,ACMHOT
Do we have to prebook the airport lounge for our 3-4 hour stopover in Johannesburg airport?,TGU,TGUAPT
What is the average cost of a safari in Kruger?,TTD,TTDSIG
What are the places we can visit around Port Elizabeth within 2 days?,TTD,TTDSIG
Does Uber operates in Hermanus area?,TRS,TRSTAX
What is the cheapest option for booking a Shark Dive in Cape Town?,TTD,TTDSPO
Are the supermarkets open on sunday at Malelane?,TTD,TTDSHP
Do we need malaria pills before hand if we are going to Timbavati?,TGU,TGUHEA
Do i need the international license for driving in South Africa as a Saudi citizen?,TRS,TRSLIC
Do we have to bring heavy warm clothes if we are visiting South Africa in September?,TGU,TGUATT
Do I need to bring Towels or are they supplied in the Bungalows in Kruger National Park?,ACM,ACMBUN
Any ideas on reliable and cheap Laundromat or other washing washing service near Sandton?,TGU,TGULAU
Will a European plug adapter work in South Africa?,TGU,TGUOTH
What can we do in and around Durban?,TTD,TTDSIG
Can I have suggestions for lunch stop between Cape Town and Vredendal?,FOD,FODBAK
What are the most relaxing beaches with budget campsites for adults in Kwazulu-Natal?,ACM,ACMBUN
Is JSL Transport a good option to travel from Malelane to Tambo?,TRS,TRSBUS
Is Hermanus area safe for female solo traveller?,TGU,TGUHEA
Can you please give recommendations on the best dive spots in aliwal shoals?,TTD,TTDSPO
Has anyone used Pembury tours for travelling in Cape Town and Kruger?,TGU,TGUTOP
Does anyone has experience with 4seasons rent a car company?,TRS,TRSRNT
How is the driving experience in Golden Gate Highlands in Winter?,TRS,TRSROU
Is there any gym near the Coastland Musgrave Ridge hotel in Durban that allows guests to pay for a one-week pass?,TTD,TTDGYM
Can we easily exchange travellers cheques in South African banks easily?,TGU,TGUBAN
What would be a safe place to stay that is near the Pretoria?,ACM,ACMOTH
What are the good places to stay in Betty's Bay?,ACM,ACMOTH
Is Addo Elephant National Park worthy to visit?,TTD,TTDSIG
What is the best option to viewing animals June or September?,TTD,TTDSIG
Can you suggest a budget private reserve in Kruger area for a couple?,ACM,ACMAPA
What are the current exchange rates for the English pound today in South Africa?,TGU,TGUBAN
